..\datasets\JPEGImages\060.jpg 2 8495 5691 207 408 733 461 439 500 
..\datasets\JPEGImages\006.jpg 1 2999 853 593 631 
..\datasets\JPEGImages\005.jpg 1 210 5629 239 485 
..\datasets\JPEGImages\029.jpg 1 7882 1239 226 387 
..\datasets\JPEGImages\012.jpg 1 1387 465 39 39 
..\datasets\JPEGImages\015.jpg 1 1064 645 384 393 
..\datasets\JPEGImages\042.jpg 2 1148 289 74 96 613 131 111 129 
..\datasets\JPEGImages\044.jpg 2 5518 2522 192 392 756 453 439 515 
..\datasets\JPEGImages\079.jpg 2 6844 2868 123 134 1010 542 354 377 
..\datasets\JPEGImages\020.jpg 2 6140 1954 88 340 1164 633 175 200 
..\datasets\JPEGImages\037.jpg 1 703 507 38 74 
..\datasets\JPEGImages\034.jpg 1 964 799 392 400 
..\datasets\JPEGImages\008.jpg 1 810 4827 254 477 
..\datasets\JPEGImages\000.jpg 1 9564 3981 184 276 
..\datasets\JPEGImages\011.jpg 1 2140 1376 130 280 
..\datasets\JPEGImages\052.jpg 1 324 624 41 46 
..\datasets\JPEGImages\017.jpg 3 5368 388 71 169 24 463 485 1110 659 3998 225 485 
..\datasets\JPEGImages\002.jpg 1 827 518 69 180 
..\datasets\JPEGImages\066.jpg 1 1495 776 438 362 
..\datasets\JPEGImages\032.jpg 8 2365 3353 191 203 3094 2429 203 174 2588 2529 83 89 3874 2424 202 200 3109 3365 200 191 3982 3894 189 144 45 314 2377 6647 3892 4265 238 246 
..\datasets\JPEGImages\071.jpg 1 1782 1407 76 130 
..\datasets\JPEGImages\057.jpg 1 752 249 24 82 
..\datasets\JPEGImages\076.jpg 1 1254 74 49 59 
..\datasets\JPEGImages\009.jpg 2 2217 1220 37 83 547 100 97 117 
..\datasets\JPEGImages\004.jpg 7 1538 484 792 2069 216 5139 192 152 969 5139 204 200 1747 5148 174 182 2451 5152 196 165 3264 5657 200 147 3921 5187 217 191 
..\datasets\JPEGImages\007.jpg 2 1841 776 354 377 1622 5511 192 393 
..\datasets\JPEGImages\013.jpg 1 1483 277 26 28 
..\datasets\JPEGImages\033.jpg 1 3151 6761 191 230 
..\datasets\JPEGImages\039.jpg 1 1713 406 40 45 
..\datasets\JPEGImages\068.jpg 2 2302 614 385 424 1142 6530 270 461 
..\datasets\JPEGImages\027.jpg 1 1779 4188 75 180 
..\datasets\JPEGImages\010.jpg 2 1879 976 239 331 6108 1139 148 309 
..\datasets\JPEGImages\025.jpg 1 3030 3132 143 410 
..\datasets\JPEGImages\049.jpg 2 8738 4909 235 356 825 561 447 530 
..\datasets\JPEGImages\063.jpg 1 2018 2630 223 415 
..\datasets\JPEGImages\050.jpg 1 4775 2884 88 248 
..\datasets\JPEGImages\078.jpg 1 3251 4720 103 261 
..\datasets\JPEGImages\026.jpg 3 1578 593 37 83 601 1334 67 159 588 240 65 89 
..\datasets\JPEGImages\028.jpg 1 79 516 28 40 
..\datasets\JPEGImages\021.jpg 1 200 1877 80 149 
..\datasets\JPEGImages\070.jpg 1 408 67 73 85 
..\datasets\JPEGImages\001.jpg 2 2387 976 369 338 5148 2784 462 846 
..\datasets\JPEGImages\058.jpg 1 818 668 377 400 
..\datasets\JPEGImages\062.jpg 1 797 949 100 148 
..\datasets\JPEGImages\048.jpg 33 448 422 347 877 1272 391 461 931 2218 384 392 907 3064 345 423 962 1325 4253 462 931 2779 3307 362 946 6172 2330 553 1008 441 2322 407 923 4079 407 431 884 5318 484 377 900 6248 422 370 985 7095 445 400 954 8102 422 408 908 8956 376 485 962 810 1376 423 869 1710 1345 469 954 2733 1345 431 969 3587 1268 446 1031 10 1338 308 892 787 3314 415 908 1710 3314 523 939 5718 5238 423 884 5764 3345 431 885 5241 2284 561 946 5802 1391 377 862 6764 1376 454 900 7648 1322 508 992 8525 1407 439 877 1264 2253 484 1038 2195 2284 446 961 3033 2322 500 916 4079 2291 431 954 2218 4245 423 893 
..\datasets\JPEGImages\031.jpg 1 2247 4716 90 107 
..\datasets\JPEGImages\059.jpg 1 230 735 35 33 
..\datasets\JPEGImages\014.jpg 1 5012 1269 136 267 
..\datasets\JPEGImages\016.jpg 2 1448 814 408 416 3888 5214 100 193 
..\datasets\JPEGImages\064.jpg 2 490 390 39 45 397 91 68 79 
..\datasets\JPEGImages\053.jpg 1 6093 3284 67 88 
..\datasets\JPEGImages\075.jpg 1 1279 5422 385 623 
..\datasets\JPEGImages\051.jpg 1 2334 2008 125 170 
..\datasets\JPEGImages\069.jpg 2 3795 1238 277 438 1525 561 439 492 
..\datasets\JPEGImages\022.jpg 1 3410 2382 67 270 
..\datasets\JPEGImages\019.jpg 2 1562 537 70 88 559 98 86 110 
..\datasets\JPEGImages\077.jpg 2 1202 2568 262 308 710 653 377 523 
..\datasets\JPEGImages\061.jpg 2 1387 5353 338 438 941 684 369 507 
